         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:591(is_satisfied_by)
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_index.py:266(_unpack_index)
       40    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\_config.py:57(set_config)
      245    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:1483(issparse)
      179    0.000    0.000    0.000    0.000 D:\Python\Lib\enum.py:713(__call__)
      361    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      215    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\_config.py:24(_get_threadlocal_config)
       30    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:217(isintlike)
      215    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:109(_getnnz)
      9/2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:37(_compile)
      135    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      135    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:291(__init__)
       10    0.000    0.000    0.028    0.003 D:\Python\Lib\site-packages\sklearn\base.py:1456(wrapper)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
       70    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
        5    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       10    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\sklearn\base.py:537(_validate_data)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:481(__contains__)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:189(isdtype)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:759(_minor_index_fancy)
      500    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:2782(name)
       10    0.000    0.000    0.002    0.000 D:\Python\Lib\site-packages\sklearn\base.py:227(get_params)
       10    0.000    0.000    0.006    0.001 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:72(_analyze)
       50    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:235(supported_float_dtypes)
        5    0.000    0.000    0.041    0.008 D:\pythonProject1\Software_Engineer\main.py:24(main)
      495    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_matrix.py:64(get_shape)
        5    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:512(_mul_sparse_matrix)
      290    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:259(__init__)
      175    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      360    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_data.py:23(dtype)
       15    0.000    0.000    0.001    0.000 D:\Python\Lib\re\__init__.py:280(_compile)
      195    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:3062(<genexpr>)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:2177(sum)
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      576    0.000    0.000    0.000    0.000 <frozen codecs>:276(reset)
       40    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\_config.py:211(config_context)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\html\__init__.py:122(unescape)
        5    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.001    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:803(_get_submatrix)
      150    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:308(<genexpr>)
       90    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:473(get_namespace)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:2935(apply_defaults)
       45    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
