         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       30    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:3172(_ndim_dispatcher)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:325(T)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:86(opengroup)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:98(closegroup)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:1147(has_sorted_indices)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\_methods.py:39(_amax)
       10    0.000    0.000    0.000    0.000 {built-in method _operator.lt}
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:535(is_satisfied_by)
       10    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\enum.py:1279(value)
        5    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:436(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:370(get_stop_words)
       25    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:305(is_satisfied_by)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_sputils.py:268(isdense)
       20    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:84(_check_array_api_dispatch)
        1    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:449(_uniq)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       10    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:231(__init__)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:467(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:545(is_satisfied_by)
        3    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:398(_simple)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:470(_validate_vocabulary)
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_csc.py:142(_swap)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       10    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:83(groups)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:216(_compile_charset)
       11    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _operator.ge}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        5    0.000    0.000    0.000    0.000 D:\pythonProject1\Software_Engineer\main.py:12(__init__)
        9    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:113(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\_methods.py:43(_amin)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:2028(_check_params)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:510(_validate_ngram_range)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:1621(__init__)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:275(dirname)
        4    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:372(_escape)
        2    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:893(_parse_flags)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\multiarray.py:892(bincount)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:953(fix_flags)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:295(isclass)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:2874(__init__)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:194(_check_stop_list)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\multiarray.py:346(where)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:77(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:31(_combine_flags)
        3    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:172(__setitem__)
        4    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_compiler.py:428(_get_iscased)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:1021(_argsort_dispatcher)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\multiarray.py:1080(copyto)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:2508(_cumsum_dispatcher)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_csr.py:50(tocsr)
        2    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\multiarray.py:669(result_type)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:214(setstate)


